"carnet"|"trunc"|"?column?"
"LG04011"|1|"2006-05-13 06:29:59.199468"
"MA07074"|1|"2009-09-28 11:18:49.453248"
"SR04050"|2|"2007-07-20 19:06:21.014093"
"RC92071"|3|"2012-12-18 09:42:33.776623"
"MG09005"|2|"2009-09-13 15:15:38.756797"
"MH92037"|1|"2006-11-08 04:17:02.558804"
"ML05051"|3|"2010-05-01 18:02:52.771238"
"GH08028"|1|"2013-04-03 11:54:46.944985"
"RM12075"|1|"2006-08-22 16:18:50.727562"
"PP07059"|2|"2013-10-21 22:34:18.904879"
"AA04006"|2|"2009-06-22 23:47:38.82059"
"AC10033"|3|"2013-09-01 14:08:38.387441"
"VM03004"|1|"2007-02-02 15:48:43.692058"
"RZ04009"|1|"2006-05-15 01:24:26.555312"
"AM05071"|2|"2011-06-20 16:44:53.479882"
"QO13002"|3|"2013-05-21 22:22:55.572284"
"AC10113"|1|"2006-08-08 03:45:18.097005"
"AV06003"|1|"2013-06-01 22:13:41.09496"
"MC04147"|1|"2006-03-20 12:36:10.995533"
"BA03024"|1|"2008-04-14 22:15:32.222201"
"RM02077"|1|"2008-05-15 12:52:35.700683"
"PC12025"|1|"2006-03-08 15:25:07.766625"
"GS04011"|3|"2012-11-05 15:31:29.289799"
"BT06003"|1|"2006-02-23 16:49:46.525724"
"RM07012"|1|"2008-06-26 09:54:52.214111"
"CS88006"|1|"2008-07-05 20:20:50.414621"
"MH06008"|2|"2010-12-24 19:52:53.109209"
"CG07063"|2|"2013-10-26 16:36:04.274012"
"OG05010"|3|"2012-10-18 11:46:37.378417"
"CG13059"|1|"2008-03-02 04:59:35.545453"
"MM13220"|1|"2010-05-07 19:37:36.568579"
"GV08039"|3|"2008-08-18 16:46:28.03462"
"DV06013"|1|"2006-04-23 06:21:20.211409"
"RO10028"|2|"2012-10-09 04:19:35.136608"
"BS07006"|1|"2012-09-20 20:56:40.089746"
"CC12155"|2|"2012-03-12 00:07:50.155839"
"MM12246"|2|"2010-07-01 13:45:03.52811"
"MF05022"|1|"2012-01-02 05:06:25.820183"
"GH08007"|1|"2006-02-26 16:12:33.241787"
"SD13006"|1|"2013-01-31 11:43:48.713784"
"BQ98003"|3|"2007-02-02 07:45:47.884348"
"HF88001"|2|"2009-01-09 21:10:26.069108"
"TS10002"|2|"2011-12-12 14:45:12.857132"
"AM03014"|2|"2009-07-11 16:54:53.802902"
"LC11032"|3|"2006-07-01 13:52:56.593972"
"GM12132"|3|"2011-07-12 14:33:05.361957"
"CL03014"|3|"2006-11-18 22:42:26.931897"
"ZZ99002"|3|"2012-11-23 17:38:09.889384"
"CC02059"|1|"2008-02-04 21:15:44.106483"
"CC10149"|1|"2007-09-25 23:35:49.577736"
"RM11056"|2|"2006-01-24 16:58:42.964"
"RM94021"|2|"2011-08-19 17:38:41.125058"
"CA07065"|2|"2011-12-11 15:48:33.249845"
"CS11011"|3|"2009-09-07 11:04:23.089507"
"EC08006"|1|"2006-10-23 07:50:40.398901"
"AV06003"|3|"2006-07-07 23:15:24.481856"
"HR05033"|3|"2012-11-13 09:53:19.496392"
"DH04013"|1|"2008-06-03 20:46:27.616665"
"BM14037"|2|"2013-09-28 18:19:06.70989"
"ZM06008"|1|"2013-06-20 11:06:46.983881"
"RR03012"|2|"2009-09-18 13:09:53.996"
"FH04013"|3|"2012-07-17 22:18:00.190423"
"MR04029"|2|"2007-09-16 18:14:49.680154"
"MM10055"|2|"2008-09-29 15:06:08.764773"
"TP00007"|3|"2013-10-10 21:25:16.802947"
"GD03020"|2|"2010-08-28 21:59:16.464073"
"AC14064"|3|"2013-11-19 13:08:15.677396"
"AP10044"|2|"2007-05-09 06:31:39.574344"
"RG09063"|2|"2008-04-18 14:25:16.278294"
"RC06088"|1|"2010-05-08 11:26:13.584743"
"CV09019"|2|"2011-03-12 01:47:24.993789"
"RG09063"|3|"2006-07-04 00:25:27.109936"
"CC99005"|1|"2008-12-25 18:24:37.972014"
"LA05029"|1|"2009-06-01 22:20:35.472615"
"SR08022"|3|"2006-12-28 09:21:24.551633"
"GP08009"|2|"2008-06-15 07:41:52.653276"
"OZ11001"|1|"2012-06-08 01:15:06.75864"
"TT05014"|2|"2013-11-07 05:57:58.015766"
"MM12255"|2|"2009-07-29 23:17:05.495363"
"HV12020"|3|"2008-07-03 05:13:55.104285"
"RG13055"|2|"2008-08-20 04:45:04.234775"
"FF08017"|1|"2008-11-23 15:18:19.161999"
"AH08007"|2|"2009-04-28 04:07:04.952365"
"SG10031"|3|"2008-09-29 19:03:37.932977"
"CE99008"|1|"2007-04-18 03:38:35.061442"
"MM10187"|1|"2011-08-13 19:35:08.005772"
"VR06036"|3|"2011-12-23 13:30:54.032749"
"AB04038"|2|"2011-12-30 05:28:31.369786"
"AA04151"|3|"2013-05-17 11:40:57.521305"
"CG07077"|1|"2007-04-19 01:14:18.19047"
"HP09009"|1|"2009-06-24 22:48:25.178472"
"UC13007"|3|"2012-09-29 13:42:47.921461"
"PP99002"|2|"2007-01-23 15:26:13.721978"
"OE11002"|3|"2013-10-27 13:08:54.020878"
"RL00008"|2|"2009-06-01 21:37:50.294341"
"CF06022"|3|"2008-11-06 19:22:59.98119"
"MV97035"|3|"2008-02-11 03:23:38.078663"
"AR98041"|3|"2013-06-29 18:35:47.304952"
"RM07014"|3|"2007-05-29 04:48:53.729842"
"MG06105"|2|"2010-07-07 09:28:41.071229"
"DR02016"|2|"2013-10-10 07:28:08.016466"
"RC99011"|2|"2006-08-18 08:44:12.229284"
"GH06046"|2|"2011-01-22 21:50:22.160021"
"RM07117"|2|"2007-05-18 07:47:15.995256"
"GH01038"|1|"2010-09-15 13:12:10.265646"
"GH99020"|2|"2008-08-02 12:31:46.87582"
"CE08006"|2|"2010-01-29 05:35:16.157539"
"RC03099"|1|"2010-07-28 02:12:00.692487"
"HP02011"|3|"2011-12-05 22:51:35.778595"
"RV06009"|3|"2010-04-22 19:09:46.319816"
"QC07011"|2|"2011-10-25 10:27:15.196911"
"MM06227"|2|"2008-03-09 08:27:13.252648"
"ML07009"|2|"2011-03-31 20:11:43.390807"
"ML90024"|2|"2009-02-08 18:10:19.780648"
"CC05137"|3|"2008-06-05 00:02:36.818197"
"JM03002"|2|"2012-01-06 06:02:01.28791"
"GG04033"|3|"2012-06-26 09:16:26.576832"
"AC14064"|1|"2010-06-11 18:45:15.604385"
"MA96005"|3|"2010-10-18 18:47:41.360491"
"AM03080"|2|"2012-12-11 17:34:43.669124"
"MR03072"|2|"2013-01-19 11:42:33.85433"
"AP03041"|1|"2006-08-03 06:36:51.363503"
"GL07016"|3|"2013-03-28 11:29:21.224548"
"VL05015"|2|"2013-06-08 20:22:11.57024"
"RG03071"|1|"2009-01-08 17:27:58.728855"
"ZP01001"|3|"2007-01-20 16:13:15.410814"
"GR10079"|1|"2009-07-08 01:59:56.758802"
"AA09030"|1|"2011-03-25 13:52:37.139967"
"RM04018"|3|"2007-11-23 22:29:21.804385"
"GC05035"|3|"2009-01-29 04:13:12.375652"
"AG14095"|1|"2013-05-30 05:51:46.004137"
"CQ09015"|2|"2013-08-02 15:04:57.63083"
"SF10025"|1|"2011-03-04 16:54:49.565437"
"CG14062"|3|"2010-02-17 02:46:00.168663"
"FF10032"|3|"2006-10-19 16:11:26.688527"
"SD05008"|1|"2006-03-15 21:40:42.390923"
"LE05012"|3|"2012-12-22 11:28:22.959824"
"LA90024"|1|"2007-12-23 22:16:04.607737"
"LH03011"|1|"2008-12-17 22:09:54.959125"
"MB93044"|1|"2009-01-31 15:12:34.415844"
"RE99004"|2|"2008-01-04 14:21:12.602643"
"GH13035"|3|"2006-08-22 22:13:57.943138"
"ML10086"|3|"2011-05-08 20:46:22.427582"
"AC10033"|2|"2012-04-09 19:35:49.938231"
"FR07040"|2|"2008-08-15 02:23:11.855798"
"PG06018"|3|"2008-11-24 18:33:41.623823"
"AG08080"|2|"2008-12-01 00:44:45.60053"
"RP08036"|3|"2008-01-26 16:05:54.73043"
"AP06048"|2|"2007-11-09 12:14:19.470527"
"CV07008"|1|"2012-06-18 04:08:39.66358"
"MD06003"|1|"2013-04-19 14:05:18.801711"
"AB14021"|1|"2010-11-14 08:30:20.593659"
"GM03042"|3|"2012-04-21 05:40:02.688305"
"GE08007"|3|"2006-12-04 18:32:30.013972"
"SM05029"|3|"2008-03-25 06:27:26.903113"
"LO04005"|3|"2008-09-07 20:00:52.39311"
"CV06036"|1|"2011-11-23 09:23:23.267069"
"QR15004"|1|"2010-05-27 02:44:59.564825"
"OG06001"|3|"2012-07-01 00:00:04.363022"
"JV06004"|2|"2008-11-11 20:09:34.770141"
"MM03165"|3|"2010-03-02 06:10:27.464152"
"HN02006"|2|"2011-08-13 21:33:05.03017"
"PM09095"|1|"2013-02-25 05:52:37.483001"
"CM09066"|3|"2006-04-28 05:02:05.0732"
"RG05043"|2|"2010-01-09 23:36:56.00972"
"CL02038"|1|"2013-01-07 07:40:26.116516"
"RC01049"|3|"2009-08-04 11:29:55.741591"
"RC01027"|3|"2010-08-26 16:53:30.268599"
"RM07070"|2|"2012-05-01 16:53:07.226168"
"CS07006"|2|"2012-10-26 18:45:55.449904"
"MH98030"|3|"2009-11-15 08:31:18.915669"
"ZV08004"|2|"2009-03-12 22:50:40.506877"
"LO03009"|1|"2008-06-09 12:20:23.970435"
"GM03042"|2|"2009-03-16 08:25:19.213791"
"CB04041"|3|"2010-06-10 04:00:55.677724"
"SB05007"|2|"2008-11-19 04:39:46.226881"
"HG11013"|2|"2006-11-07 19:06:51.673422"
"ZO01001"|3|"2007-07-15 02:50:48.947329"
"MR04116"|2|"2009-04-14 02:09:37.460732"
"SM10018"|1|"2013-01-11 22:51:26.352454"
"CH03036"|1|"2007-06-22 03:16:08.201568"
"FV08013"|1|"2007-12-13 18:02:21.261394"
"BS07006"|1|"2007-04-21 11:23:50.295038"
"RR97081"|2|"2009-05-27 21:22:57.424946"
"TC01001"|3|"2011-12-25 16:42:38.893782"
"VP05013"|2|"2013-07-25 16:23:05.498765"
"VA04016"|2|"2009-10-10 18:38:16.862876"
"SA07007"|1|"2011-03-02 22:06:56.62713"
"AG02033"|2|"2013-06-05 21:05:22.60623"
"PP09066"|3|"2010-07-27 23:22:35.684507"
"ML14080"|1|"2012-03-27 16:15:04.627072"
"QS09003"|2|"2010-09-01 12:07:55.248371"
"OJ09002"|3|"2009-06-18 16:09:50.200641"
"CP14059"|1|"2009-05-17 08:40:02.12359"
"PV06007"|1|"2012-11-19 18:55:44.451785"
"CF78013"|1|"2006-03-24 00:13:27.516521"
"AM09039"|1|"2012-08-12 13:04:15.981918"
"VH08013"|2|"2012-09-28 20:13:21.685912"
"AA02086"|1|"2013-01-24 06:47:22.32842"
"PO09003"|3|"2010-12-23 22:32:45.945767"
"GL07016"|2|"2011-10-23 10:37:37.357326"
"AH03020"|3|"2006-03-03 20:59:21.666486"
"SR06022"|1|"2008-05-12 15:28:25.368773"
"PM07045"|3|"2009-02-01 05:31:21.019939"
"GR13065"|2|"2006-05-16 11:14:48.274925"
"AA96012"|2|"2010-09-06 08:37:30.384998"
"GR04014"|3|"2007-07-04 10:11:12.740327"
"MM09051"|3|"2012-04-16 14:46:46.454297"
"CB99011"|1|"2008-06-23 10:19:38.716995"
"CP06056"|2|"2012-09-03 20:02:38.749373"
"RZ10011"|2|"2011-07-18 02:17:43.841601"
"RC01049"|2|"2009-07-11 11:48:23.30912"
"FG98023"|3|"2009-10-17 23:12:11.428105"
"SM07046"|2|"2012-06-08 09:31:16.672822"
"GB77011"|3|"2009-09-25 13:03:12.309176"
"LF99002"|2|"2010-05-04 22:17:35.163686"
"MF12022"|1|"2008-08-30 16:09:10.508507"
"MG13090"|2|"2012-05-04 07:59:54.453698"
"ZR07002"|1|"2006-04-15 15:20:41.14947"
"AZ04010"|3|"2007-05-10 07:44:58.427595"
"GV05024"|2|"2011-03-03 00:58:23.580065"
"LL06023"|1|"2008-08-10 18:16:42.769445"
"ZR07007"|3|"2009-07-10 22:17:58.666911"
"GU04003"|1|"2012-01-30 13:55:01.556323"
"BF11002"|3|"2011-02-05 03:05:25.205518"
"NR07007"|3|"2010-12-02 03:51:54.319247"
"RR01119"|1|"2011-11-20 20:16:37.703158"
"AG13044"|3|"2009-05-10 00:16:51.558508"
"AR09037"|1|"2012-03-25 03:09:23.491332"
"AA10182"|2|"2007-04-20 04:16:57.471343"
"CQ03006"|3|"2010-08-06 06:23:10.884792"
"GD09010"|3|"2013-06-13 08:53:30.048843"
"CL10051"|2|"2010-04-06 13:46:34.526675"
"RL05018"|2|"2006-05-19 07:19:22.019507"
"SJ08005"|2|"2011-03-16 12:12:05.751244"
"LR07030"|2|"2012-10-19 11:47:53.452935"
"RM06007"|1|"2013-04-26 11:05:19.579786"
"ML12063"|2|"2010-12-14 16:02:07.939979"
"EG06008"|2|"2013-05-16 23:25:58.782275"
"VV11002"|2|"2007-09-19 03:02:00.495564"
"MF07045"|1|"2008-11-17 13:52:48.626919"
"DA94004"|3|"2012-03-21 15:22:09.545501"
"PP07059"|1|"2010-06-19 15:00:36.454181"
"MC06035"|2|"2007-06-08 02:10:47.584702"
"ML10015"|1|"2013-11-13 15:10:25.433113"
"GC10083"|2|"2006-10-08 23:16:38.295789"
"LL08014"|3|"2010-04-29 17:14:15.59946"
"GO12016"|2|"2012-12-05 22:16:38.579299"
"MM03050"|2|"2010-09-15 06:03:23.511941"
"CV03007"|3|"2013-02-05 14:30:51.054766"
"SP06009"|2|"2010-07-27 06:33:37.453803"
"JJ98007"|1|"2007-09-27 04:03:12.124023"
"FZ08001"|3|"2013-11-20 07:37:14.513502"
"LL06042"|3|"2006-11-25 20:04:39.264518"
"OR04018"|1|"2008-12-22 12:41:14.984205"
"SF07004"|3|"2008-10-04 14:30:04.693249"
"CS84035"|1|"2006-07-07 17:19:53.60357"
"CR04061"|3|"2006-02-07 16:21:30.573557"
"OA08015"|1|"2010-01-23 07:06:45.727599"
"OL05008"|1|"2009-11-01 02:04:05.545064"
"HV06009"|3|"2009-10-31 07:27:26.457545"
"MA13026"|3|"2006-10-28 06:45:43.209622"
"CG10016"|1|"2012-02-16 08:07:24.418541"
"VS09017"|2|"2009-07-09 14:23:34.252444"
"SZ02003"|3|"2008-01-02 10:36:29.09396"
"QC10002"|3|"2012-10-09 19:49:26.768368"
"BP06001"|3|"2008-12-22 06:16:36.813969"
"PC95057"|2|"2011-03-12 19:06:24.050395"
"MD02020"|2|"2009-01-18 03:28:54.464457"
"VA10031"|3|"2007-05-22 17:19:32.306623"
"FH10017"|1|"2012-08-03 22:39:49.857137"
"CO02013"|2|"2008-10-15 03:52:11.505642"
"AG05058"|2|"2010-03-29 05:59:35.258761"
"FP10016"|1|"2006-08-26 13:02:25.841095"
"MV06004"|2|"2012-01-04 10:24:28.605344"
"RC04052"|3|"2009-01-20 07:19:29.048091"
"HB98008"|2|"2007-02-02 12:10:25.445243"
"JR03002"|3|"2008-01-28 04:11:07.222398"
"AA04146"|3|"2007-12-27 10:16:02.085943"
"LA09003"|3|"2008-04-09 07:30:49.372853"
"MM03050"|1|"2012-08-08 12:26:53.918796"
"CP07046"|3|"2010-06-30 09:09:33.319152"
"GG04033"|1|"2011-06-24 17:29:46.07162"
"PC06006"|3|"2010-04-01 17:58:55.251488"
"PG03020"|2|"2007-01-31 18:48:05.089186"
"MC09092"|3|"2013-07-15 08:24:29.019501"
"VC09023"|3|"2013-03-16 02:33:11.999706"
"DH12019"|2|"2007-07-23 23:19:54.761256"
"AD05002"|3|"2006-12-18 06:32:12.405065"
"ML12075"|3|"2009-01-09 17:09:04.256644"
"MN09004"|2|"2011-07-04 00:05:25.015531"
"CC96079"|2|"2013-02-19 07:35:01.174693"
"NR08012"|2|"2013-12-03 01:41:26.001671"
"MH10035"|3|"2013-03-13 05:05:46.743298"
"MN14019"|2|"2013-05-26 22:00:27.512809"
"RC04112"|1|"2012-02-05 02:23:15.23393"
"VR08041"|2|"2011-05-23 21:58:41.876827"
"GG13126"|3|"2007-12-29 19:39:07.496477"
"MT14018"|3|"2009-04-30 08:59:22.632885"
"SM06006"|1|"2013-02-10 15:50:31.637036"
"RR95020"|1|"2006-12-27 11:34:34.532481"
"UU12003"|3|"2013-11-18 06:28:37.923496"
"SM09061"|3|"2011-08-23 17:50:10.117875"
"RF06011"|3|"2007-01-25 05:41:22.256713"
"MP06035"|2|"2013-05-27 14:44:45.539548"
"SH00014"|1|"2011-01-31 13:49:31.903612"
"CR85141"|3|"2012-12-04 11:39:16.077293"
"LV01014"|2|"2009-05-08 14:36:00.90676"
"VP98014"|3|"2013-09-04 21:45:34.947008"
"RE10007"|2|"2012-04-02 04:00:42.146348"
"MA10106"|3|"2011-02-08 00:54:24.765276"
"SS02039"|2|"2010-12-24 12:42:07.339105"
"GA02057"|2|"2010-10-03 05:09:27.879164"
"OV02009"|2|"2008-03-12 22:06:31.039366"
"GG07071"|2|"2012-02-28 16:56:16.703253"
"CP06006"|3|"2013-02-27 18:02:23.551112"
"MD06025"|1|"2007-09-11 03:55:23.821337"
"RD10027"|3|"2009-07-19 13:07:32.879422"
"RR09200"|2|"2013-07-09 22:12:35.37655"
"GP11039"|3|"2012-03-20 01:42:32.52889"
"OB07012"|3|"2011-04-06 04:17:46.638029"
"MR08023"|2|"2009-03-05 23:06:40.961642"
"HV12021"|3|"2013-11-18 20:44:53.648532"
"QB10001"|1|"2010-12-27 10:07:28.307717"
"LR07030"|1|"2013-02-26 05:36:30.758315"
"SR15056"|2|"2012-03-24 12:25:52.930784"
"BH88001"|2|"2011-01-18 01:18:24.227143"
"BC91027"|3|"2012-11-17 23:16:29.972714"
"VM06043"|1|"2008-06-25 05:34:07.131058"
"GP97031"|1|"2007-07-04 12:46:23.079355"
"RF08022"|2|"2006-03-02 19:32:28.441175"
"EA07015"|1|"2013-06-21 04:50:50.731096"
"MR99097"|3|"2008-01-07 13:38:22.417952"
"RR08096"|1|"2012-03-19 16:53:53.25259"
"PC08036"|2|"2006-03-22 15:23:49.385595"
"AM10029"|2|"2012-01-10 16:02:53.145711"
"GG04026"|3|"2007-07-13 17:33:35.598164"
"DA08031"|1|"2009-04-21 03:21:11.298885"
"CC03021"|2|"2012-08-28 19:08:22.839736"
"PA05054"|3|"2012-08-15 20:30:41.848278"
"MG15046"|1|"2012-11-19 06:08:54.656112"
"BF06001"|3|"2012-12-22 02:02:42.083105"
"GG10091"|2|"2011-07-23 09:05:31.563846"
"AR08060"|1|"2012-02-16 21:30:03.537941"
"AA00093"|3|"2013-02-19 11:48:48.596788"
"SA03048"|1|"2007-01-12 11:08:07.927994"
"BC06007"|2|"2012-10-29 17:02:07.736613"
"VR06017"|3|"2013-05-10 20:50:14.176356"
"HS09008"|2|"2006-03-09 22:13:40.742899"
"OM04004"|3|"2012-06-07 23:07:48.857743"
"LF05001"|3|"2007-09-10 11:57:16.90873"
"MO13026"|3|"2007-07-02 01:46:08.676634"
"LS15012"|2|"2013-06-16 10:50:19.747213"
"SM11002"|3|"2010-12-21 14:59:23.688429"
"EV08004"|3|"2010-07-13 18:31:53.469183"
"VL08017"|1|"2009-05-20 16:49:22.539593"
"FA09031"|1|"2009-05-02 21:18:19.620416"
"SH98024"|3|"2009-10-18 22:11:20.743029"
"MD12005"|3|"2008-12-30 02:28:56.09347"
"PA12038"|1|"2012-05-05 12:12:05.634245"
"MG05027"|1|"2011-09-05 23:54:09.91647"
"FR07006"|2|"2008-08-22 06:42:43.200702"
"PM10022"|2|"2007-10-08 02:46:23.709145"
"FA09013"|2|"2006-11-22 21:57:19.505913"
"CM06015"|3|"2009-05-12 02:53:48.829714"
"MC04022"|3|"2012-02-22 20:51:43.513687"
"CC12155"|1|"2009-03-25 17:02:34.472159"
"PM00050"|1|"2008-10-26 14:40:32.722043"
"MS10057"|1|"2010-02-27 05:47:41.204842"
"CC08090"|2|"2007-09-06 02:12:50.684776"
"SO08003"|1|"2006-07-10 21:52:30.657882"
"GG86043"|2|"2006-02-26 20:19:31.252154"
"RC08056"|3|"2007-02-26 20:37:42.26082"
"AR09036"|3|"2009-02-04 12:12:12.554794"
"MD08012"|3|"2007-04-05 18:44:31.99867"
"AV11028"|2|"2013-09-06 15:30:27.708909"
"GE10006"|3|"2009-10-20 00:24:25.668182"
"VC03039"|2|"2012-02-28 02:39:45.164029"
"GR12087"|3|"2007-07-25 07:16:44.314816"
"HM06005"|1|"2010-08-05 09:33:42.618443"
"GM07087"|3|"2010-12-24 10:06:15.531763"
"HM06005"|2|"2009-03-04 03:22:58.812812"
"GC07050"|2|"2012-04-24 10:40:22.34081"
"MF04019"|1|"2009-03-01 01:17:18.694896"
"DS10011"|1|"2008-06-27 22:24:18.674147"
"GG04137"|1|"2009-12-31 06:32:05.555733"
"GV04005"|1|"2013-09-09 23:07:19.699932"
"OB03008"|1|"2009-03-03 05:07:45.54715"
"GZ09001"|3|"2009-11-11 12:15:18.551808"
"HF12002"|3|"2009-05-28 10:56:22.114603"
"DM98012"|1|"2007-04-08 06:43:41.282185"
"HR07009"|2|"2009-04-11 08:54:57.658235"
"MG04021"|3|"2012-03-25 17:30:50.697281"
"II05004"|2|"2006-12-09 16:53:32.208859"
"VL02010"|1|"2011-09-26 20:10:43.917868"
"SJ08005"|1|"2007-11-13 03:35:51.638956"
"PC04001"|3|"2008-02-25 21:54:51.498123"
"RG02043"|3|"2012-09-29 15:25:18.117357"
"BV86003"|1|"2011-05-27 17:01:30.348101"
"RH08036"|3|"2013-11-30 01:55:41.811348"
"CE99008"|3|"2012-12-13 08:16:13.856845"
"TP98006"|2|"2008-08-01 07:00:46.316221"
"QA10014"|3|"2007-12-04 15:20:30.321353"
"DF10009"|2|"2012-06-19 13:46:50.299184"
"CL06038"|3|"2011-04-07 02:27:20.542952"
"LB07006"|2|"2012-09-14 21:10:50.480191"
"VM11070"|2|"2012-03-27 17:25:23.266455"
"SM05051"|3|"2008-07-20 19:46:46.672281"
"JJ01007"|1|"2013-07-04 23:30:19.963897"
"AC04100"|1|"2007-05-16 11:19:55.837053"
"MM04266"|2|"2009-10-04 21:13:14.72345"
"LV09030"|2|"2006-07-26 18:15:10.716313"
"VP98014"|2|"2010-05-21 05:49:07.528762"
"CC09007"|3|"2007-10-12 13:50:44.443173"
"AR01075"|3|"2011-12-25 14:25:33.525123"
"OB07006"|1|"2012-12-19 13:46:31.203109"
"AH06035"|2|"2007-11-04 17:48:39.110352"
"SS06024"|1|"2012-11-01 14:55:16.223389"
"VP07026"|2|"2006-03-21 11:41:51.448016"
"PZ07013"|1|"2013-01-16 05:31:08.00274"
"NR08012"|1|"2010-08-02 05:39:44.041089"
"MR08026"|3|"2011-05-19 13:10:24.777557"
"SF07003"|1|"2012-07-30 12:51:26.420378"
"SH02018"|1|"2010-07-31 00:02:36.074504"
"AG09074"|2|"2013-10-04 16:26:29.193459"
"FR06030"|3|"2009-02-13 23:40:00.529292"
"RB05002"|1|"2010-08-11 07:49:38.418808"
"PD09008"|3|"2009-08-30 14:14:21.092701"
"SP12017"|2|"2008-03-01 17:42:30.77331"
"GV12007"|1|"2010-01-14 14:02:49.325411"
"LR05008"|2|"2009-12-30 09:54:50.481951"
"MR06011"|1|"2010-08-14 02:56:03.436595"
"MA09090"|1|"2010-06-04 14:13:21.695544"
"RM07115"|3|"2008-05-10 08:13:30.807377"
"ER10008"|1|"2006-10-08 10:28:04.946476"
"RR09012"|2|"2008-10-15 09:00:07.396034"
"SS08010"|2|"2008-09-25 02:24:07.293041"
"OJ05002"|3|"2006-08-26 23:08:44.211171"
"MA09048"|3|"2007-10-27 22:59:20.128336"
"EB11008"|3|"2007-03-18 15:24:08.229552"
"BR08004"|1|"2006-10-20 16:35:49.960102"
"RP06005"|2|"2009-12-29 15:53:45.723967"
"JA12008"|1|"2006-06-28 20:02:47.264767"
"DE13005"|3|"2012-01-13 01:39:26.251203"
"CS11011"|2|"2012-08-19 02:22:21.518701"
"CE07014"|2|"2006-05-03 00:44:09.673333"
"GH09006"|2|"2013-05-22 02:47:47.073093"
"BB03001"|1|"2010-12-12 05:33:04.531294"
"MT96001"|3|"2011-03-03 03:22:04.771967"
"MM07184"|1|"2009-08-22 15:56:02.397527"
"ZV03003"|2|"2011-10-07 05:30:17.461101"
"ZH04001"|1|"2013-09-23 12:13:35.231815"
"OA10006"|2|"2012-01-18 06:18:22.007424"
"MR98111"|2|"2013-11-11 19:27:09.289835"
"RM13099"|3|"2009-08-18 07:14:43.261363"
"RG05094"|1|"2008-02-17 12:52:02.664321"
"BM98027"|1|"2009-02-24 03:14:48.764495"
"LG04005"|1|"2006-10-06 11:54:41.272627"
"SS06024"|3|"2011-01-31 02:13:34.367111"
"MM09105"|3|"2013-09-07 16:11:15.208625"
"AA95023"|3|"2006-04-24 06:18:19.158962"
"AC05051"|1|"2011-10-11 06:01:42.826449"
"OA12016"|3|"2013-06-17 16:34:49.05605"
"GR97016"|1|"2010-01-17 07:53:20.677336"
"ME06031"|2|"2013-12-16 12:29:27.871035"
"AA07023"|1|"2007-04-08 03:52:11.51784"
"GM07091"|1|"2012-04-01 15:01:30.255308"
"CN12011"|1|"2007-12-13 06:31:49.028577"
"FG98023"|1|"2013-12-22 07:10:01.606343"
"PG06039"|1|"2013-07-31 18:28:40.493123"
"MF01010"|3|"2011-05-12 16:20:37.70708"
"RB10032"|1|"2008-12-30 22:41:58.136322"
"MS99014"|3|"2012-04-27 15:27:14.884068"
"AA96012"|3|"2006-04-03 18:22:40.664248"
"AA13116"|3|"2011-03-11 19:46:11.591927"
"AM01001"|1|"2007-12-09 09:07:41.341657"
"RM07012"|2|"2012-11-09 01:58:09.014375"
"LV09030"|1|"2006-10-19 10:58:57.388414"
"UA10002"|1|"2012-12-19 21:17:07.254356"
"CS98036"|1|"2013-05-27 08:11:36.395358"
"DA07004"|3|"2010-08-16 02:50:25.228692"
"LR06013"|3|"2009-11-18 09:12:36.970896"
"NR08012"|2|"2010-05-18 15:04:03.507383"
"MS08014"|2|"2013-01-02 15:30:49.976809"
"AS92028"|2|"2009-08-05 19:12:57.56889"
"HT07004"|2|"2009-09-14 06:51:57.191856"
"SL10017"|1|"2013-03-06 02:13:59.53125"
"GR13096"|1|"2010-04-09 13:56:31.279359"
"HE07006"|2|"2006-01-26 04:36:38.746185"
"AS13058"|1|"2012-02-18 11:36:34.421622"
"RS07007"|1|"2008-06-06 00:39:15.859464"
"RM04064"|1|"2006-01-25 02:56:01.894586"
"CH07041"|3|"2010-08-18 13:06:28.705104"
"SG09020"|2|"2006-06-17 04:22:03.897862"
"OP05014"|2|"2011-09-29 09:00:29.525287"
"PL08005"|2|"2010-11-30 20:56:13.305645"
"PS08033"|3|"2009-06-27 22:12:50.293921"
"EA05016"|3|"2006-10-15 10:14:51.653526"
"LD02005"|1|"2013-11-03 11:50:31.460899"
"CM07078"|3|"2009-11-03 13:48:32.74837"
"CC07109"|1|"2012-07-28 09:29:03.486185"
"MA10104"|2|"2006-01-29 05:08:07.342234"
"OJ05002"|1|"2013-03-29 00:10:55.087907"
"GE08007"|2|"2008-03-03 14:16:54.400298"
"GT06002"|3|"2011-10-04 22:29:57.59996"
"OT08001"|1|"2010-04-12 00:05:27.889863"
"HM11009"|2|"2012-09-02 20:21:30.058747"
"RD08030"|2|"2010-12-04 23:10:34.521017"
"ZA97007"|2|"2006-10-17 14:23:54.050245"
"BA98015"|2|"2010-01-05 09:48:06.988717"
"CL11058"|2|"2011-10-29 16:37:10.664059"
"BT02002"|3|"2011-04-27 20:03:07.538851"
"RL00008"|1|"2006-08-05 11:46:42.034593"
"NS06008"|2|"2010-05-03 21:27:12.261847"
"FR14005"|2|"2009-05-23 13:07:27.376257"
"SD85009"|3|"2010-01-25 10:32:30.966243"
